Start Date,End Date,Type,Title
23/8/2018,23/8/2018,SH,0: Staff Development Day
25/8/2018,25/8/2018,SH,0: G7 Orientation Day
3/9/2018,3/9/2018,SE,0: First House Meeting
21/9/2018,21/9/2018,SE,0: Inter-House Swimming Finals
22/9/2018,22/9/2018,SE,0: PTA AGM
25/9/2018,25/9/2018,PH,0: The day following the Chinese Mid-Autumn Festival
26/9/2018,26/9/2018,SE,0: Second House Meeting
1/10/2018,1/10/2018,PH,0: National Day
3/10/2018,3/10/2018,SE,0: Apple Race
12/10/2018,12/10/2018,SE,0: Blood Donation
13/10/2018,13/10/2018,SE,0: PTA Inaguration Day
17/10/2018,17/10/2018,PH,0: Chung Yeung Festival
19/10/2018,19/10/2018,SE,0: Inter-School Swimming Competition (Heats)
26/10/2018,26/10/2018,SE,0: Inter-School Swimming Competition (Finals)
2/11/2018,2/11/2018,SE,0: Inter-House Athletics Competition
3/11/2018,3/11/2018,SE,0: G7 Admission Talks
11/11/2018,11/11/2018,SE,0: Garden Fete
12/11/2018,12/11/2018,SH,0: The day following Garden Fete
21/11/2018,30/11/2018,SE,0: IB G11 Mid-year Exam (21/11-30/11)
21/11/2018,4/12/2018,SE,0: IB G10 Mid-year Exam (21/11-4/12)
23/11/2018,23/11/2018,SE,0: Staff Development Day
1/12/2018,8/12/2018,SE,0: IB G11 CAS Trip (1/12-8/12)
3/12/2018,3/12/2018,SE,0: Inter-School Cross Country Competition
4/12/2018,19/12/2018,SE,0: G7-G11 Mid-year Exam (4/12-19/12)
20/12/2018,20/12/2018,SE,0: Christmas Service 
21/12/2018,2/1/2018,SH,0: Christmas and New Year Holiday (21/12-2/1)
24/12/2018,24/12/2018,SH,0: Christmas Eve
25/12/2018,25/12/2018,PH,0: Christmas Day
26/12/2018,26/12/2018,PH,0: The first weekday after Christmas Day
1/1/2019,1/1/2019,PH,0: The first day of January
3/1/2019,3/1/2019,SE,0: Return of marked scripts (G7-G11) 
4/1/2019,4/1/2019,SE,0: Return of marked scripts (G7-G11) 
7/1/2019,7/1/2019,SE,0: Return of marked scripts (G7-G11) 
11/1/2019,11/1/2019,SE,0: Checking of result slips (G7-G11)
12/1/2019,12/1/2019,SE,0: DBS 150th Anniversary Inauguration Ceremony
14/1/2019,14/1/2019,SE,0: Inter-School Life Saving Competition
19/1/2019,19/1/2019,SE,"0: Parents' Day (Distribution of report cards G7-G11, IB G10-G12)"
25/1/2019,25/1/2019,SE,0: Speech Day
26/1/2019,26/1/2019,SE,0: Mentoring Scheme (Tea Reception)
28/1/2019,26/2/2019,SE,0: G12 Mock Exam 
5/2/2019,5/2/2019,PH,0: Lunar New Year's Day
6/2/2019,6/2/2019,PH,0: The second day of Lunar New Year
7/2/2019,7/2/2019,PH,0: The third day of Lunar New Year 
25/2/2019,27/3/2019,SE,0: Music Festival (25/2-27/3)
27/2/2019,1/3/2019,SE,0: Return of marked scripts (G12) (27/2-1/3)
27/2/2019,27/2/2019,SE,0: Inter-School Athletics Competition (Day 1)
1/3/2019,19/3/2019,SE,0: IB G12 Mock Exam (1/3-19/3)
5/3/2019,5/3/2019,SE,0: Inter-School Athletics Competition (Day 2)
8/3/2019,8/3/2019,SE,0: Inter-School Athletics Competition (Day 3)
11/3/2019,11/3/2019,SE,0: Checking of result slips (G12)
13/3/2019,13/3/2019,SE,0: Distribution of report cards (G12)
5/4/2019,5/4/2019,PH,0: Ching Ming Festival
9/4/2019,12/4/2019,SE,0: G10 Leadership Training Camp (9/4-12/4)
15/4/2019,15/4/2019,SE,0: IB G12 Study Leave
16/4/2019,16/4/2019,SE,0: Easter Service
17/4/2019,27/4/2019,SH,0: Easter Holiday (17/4-27/4)
19/4/2019,19/4/2019,PH,0: Good Friday
20/4/2019,20/4/2019,PH,0: The day following Good Friday
22/4/2019,22/4/2019,PH,0: Easter Monday
1/5/2019,1/5/2019,PH,0: Labour Day
6/5/2019,24/5/2019,SE,0: IB G12 Exam (6/5-24/5)
12/5/2019,12/5/2019,PH,0: Buddha's Birthday
13/5/2019,13/5/2019,PH,0: The Day Following the Buddha's Birthday
3/6/2019,14/6/2019,SE,0: IB G10 & G11 Final Exam (3/6-14/6)
4/6/2019,4/6/2019,SE,0: Staff Development Day
5/6/2019,24/6/2019,SE,0: G7-G11 Final Exam (5/6-24/6)
7/6/2019,7/6/2019,PH,0: Tuen Ng Festival
25/6/2019,27/6/2019,SE,0: Return of marked scripts (25/6-27/6)
1/7/2019,1/7/2019,PH,0: HKSAR Establishment Day
3/7/2019,3/7/2019,SE,0: Checking of Result Slips
8/7/2019,8/7/2019,SE,0: Distribution of Report Cards (copy) & Overall Form Position to G9 for G10 Streaming
10/7/2019,10/7/2019,SE,0: Release of 2019 HKDSE Examination Results
12/7/2019,25/7/2019,SE,0: DBS Orchestra Europe Concert Tour (12/7-25/7)
15/7/2019,15/7/2019,SE,0: Distribution of Report Cards & IB G10 & G11 Parents' Day
15/7/2019,15/7/2019,SE,0: End of Year Service
16/7/2019,31/8/2019,SH,0: Summer Holidays (16/7-31/8)
24/8/2019,24/8/2019,SH,0: G7 Orientation Day
27/8/2019,27/8/2019,SH,0: First Staff Meeting
27/8/2019,27/8/2019,SH,0: IB New students Induction Day